,han_text
186,위드 코로나 영향 매년 늘던 배달 앱 이용자 꺾였다 이후 배달 앱 이용자 외식 수요 증가 영향 
187,코로나 대책 전문위원회가 부스터 샷 접종을 권고했다 위원회 단계적 일상 회복 정책으로 코로나 유행이 심각한 수준이다 추가 접종이 요구되고 있다 백신 접종은 환자 발생과 중증 사망률을 감소시킨다 백신 접종 반대하는 수구꼴통들은 모조리 능지처참해야 한다
188,밤 대본은 일 시 기준 코로나 확진자 수가 명이 국내 명 국외유입 명이라고 밝혔다 코로나 유행 이후 가장 많다 이전까지 가장 많은 신규 확진자가 나왔던 건 단계적 일상 회복을 앞두고 추석 연휴 동안 이동량이 증가한 효과가 나타났던 월일 명이었다
189,개인 가게 면 그나마 양심 차려서 내리는 곳도 잇는데 안 내리는 곳도 왕왕이잖아 영화값 지금 할인하는 것도 정부 지원받아서 할인하는 거지 오오 우리 단계적 일상 회복이니까 대기업답게 할인해주겠어요 이 지랄하는 거냐고 ㅋㅋㅋㅋ
190,특별관이라 자리도 겁나 많은데 굳이 따닥 붙어서 예매하고 지랄이야 오픈할 때 예매해서 피할 수 있었잖아  백신 패스 관하라 먹는 것도 가능한데 
191,위드 코로나라고 하니까 마스크 벗고 지랄 난 거 아녀 내가 한국에 있는 게 아니라 잘 모르겠지만 
192, ㅠㅠㅠㅠㅠ진짜 화나요 회사 확진자 나와서 밀접 접촉은 아닌데 줄줄이 다 엮일 거 같아 선제 검사받고 퇴근 중입니다  하 진짜 이게 무슨 민폐 진인지 심지어 확진자 부서 어제 회식했다고 위드 코로나를 아주 충실히 실행중이세요딥빡
193,역시 위드 코로나 정말 함께하는구나
194,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
195,세계 어린이의 날 위드 코로나의 시작 아이들의 아픔을 돌아봐야 할 시점입니다 세계 어린이의 날 아동 지원 프렌즈 러브 에프엔씨      
196, 뭐야 아직 위드 코로나 아니야  시에 한참이라뇨  우리 언니 살려줘
197,위드 코로나 효과로 감염자 명 축하합니다 
198,위드 코로나로 갈 때 이미 어느 정도 예견되었던 사항이다 근데 지금 언론은 두려움과 공포를 조장하고 있다 지금 언론이 할 일은 공포나 두려움 조장이 아니라 이 상황을 덜 수 있게 정부 정책을 전달하고 주의하도록 하는 전달자 역할을 해야지 ㅋㅋ
199,빠대 열린 소통포럼 제 차 열린 소통포럼 국민과 함께하는 단계적 일상 회복 방안 우리나라도 차근히 코로나 이전의 일상으로 돌아갈 준비를 하기 시작했어요 일상을 향한 첫걸음 단계적 일상 회복 여러분은 단계적 일상 회복에 대해 얼마나 알고 계시나요
200,신규 확진자 천명 대 미접종자들 모여서 김장하는 바람에 백여 명 감염돼 이 와중에 전면 등교 위드 코로나라고 해도 어지간한 숫자로 위드 해야지
201,대구 전통시장 세일 페스타로 위드 코로나를 향한 첫걸음
202,ㅅㅂ 원래 백신 패스 관 청소년 그냥 입장 가능했는데 일부터 바뀐 듯이 놈들아 청소년이 월 일부터 접종을 시작했는데 차 접종 후 일 이후인 애들만 받으면 관람할 수 있는 애들이 없어 차 접종 후 주  차 접종 후 주
203,세 백신 예약 연장 다중이용시설 방역 패스 검토  사회  네이트 뉴스 
204,정부 코로나 백신 임상 참여하면 방역 패스 예외 인정 
205,위드 코로나 시대 운동하는 법 걷기 댄스 골프까지 앱으로 합니다  출처  캐시 워크  네이버 포스트 
206,수험장이 나온 고삼 친구들에게 코로나 시국 수능을 봤던 내가 말을 전하자면 물병 꼭 챙겨가세요 위드 코로나여도 아직 시국이 시국인지라 개수대 막아놨을 거임 필통은 굳이 안 가져가도 되고 환기시킨다고 창가 통하는 자리는 진짜 추우니까 옷 따습게 입구 겉옷은 불편하다고 보통은 벗어두니까
207, 그렇더라고요 작년에는 코로나 대책으로 모든 책상 칸막이가 설치되었지만 위드 코로나 정책으로 칸막이 다 없앴다고 하네요
208,아씨발또라이들진짜빡치네백신패스관ㄹㄹㅁㄹㄹㄹㄹㅁㄹㅁㄹㅎㄹㅇㄹㄹㅇㅊㅈㅎㅁㅎㅁㅎㄴㅎㅎㅈㅎㅂㅎㅎㄹㄴ
209,코로나 환자가 늘어난다고 하는데 위드 코로나로 마스크를 안 쓰고 다닌다 제발 마스크는 착용합시다
210,그래서 중증은 몇 명인데요 단계적 일상 회복 단계에서 확진자 수가 느는 건 당연한 거고
211, 코로나 방역체계 개편에 대한 국민 의견을 수렴한 결과 차 백신 이상 접종자 명 중 가 백신 패스 접종증명 음성 확인제를 찬성하는 것으로 나타났습니다 자세한 내용을 확인해 보아요
212,포토 대한민국 백신 패스 반대 세계시민 걷기대회 모습     세행연 서울 부산 대전 행사 전 세계 백신 패스 반대 집회 수개월째 진행 중 플로리다주 백신 접종 의무화 금지 법제화 강남역 집회에 백신 패스 반대 운동이 함께 한다
213,위드 코로나 훈풍 연말 성과급 연대 최고 일당 만원   브레이크뉴스  
214, 나 친구가 보여준 클립 같은 짧은 것들만 봤소 ㅋㅋㅋㅋ 아직 첨부터 보지는 않았다 히히 그 약간 징그러움에 아직 적응을 몬해가지궄ㅋㅋㅋㅋㅋ 갸가 악 귀여움 받아 벌였어 나도 나도ᅲᅲ 하 위드 코로나랬지 코로나 평생 끌어안고 가자는 거 아닌데 이번에 확진자 또 터져가지고ᅲᅲ 휴
215,오늘 포항에서 불빛축제하는데 저 지랄 낫나 봅니다 아이고 위드 코로나라고 정말
216,위드 코로나 시대 바이오의 미래  오늘 개막  일 서울 롯데호텔 방역 전략 항암 기술 한자리에 로버트 레드필드  전 질병통제예방센터 국장 기조발표
217, 안 쓰면 출입 못해요 위드 코로나 실패 일본 정부의 폭탄 발표에 제대로 열받은 일본 자영업자들 한국 마스크로 대형사고 쳐버  출처 
218,건방진 년 백신 패스 관 가려고 했는데 저년이 너무얄밉네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
219,요즘 다중이용시설에 백신 패스 수준으로 출입제한한 곳이 많은데 그거 까면서 백신 안 맞은 게 자랑인가 다들 입 없어서 뇌 없어서 맞나
220,백신 패스 관 좋더라 입 심심할까 봐 과자 가져갔는데 드루이드 그보다 내가 더 많이 처먹고 있어서 좀 민망했움
221,위드 코로나로 애플스토어 출입제한 좀 널널해진듯이젠 앞에서 줄 서서 대기하지 않아도 되고 당일 방문도 현장 예약할 필요도 없음
222, 있어 요즘 위드코로나라서ㅋㅋㅋㅋㅋㅋㅋ
223,위드 코로나 ㅇㅈㄹ
224, 핼러윈하고도 시기 겹치기도 하고 위드 코로나니 뭐니 회식하면서 폭발적으로 늘어난 거 같네요ㅇ
225,그니까 누가 핼러윈 때 위드 코로나 하라 했냐고
226,그러네 에이스 양도받을 거면 백신 패스 혹은  음성 확인서 내야 하니까 진짜 위험하겠다 닌 어차피 못 갈 것 같긴 해 근데
227, 백신 패스 없어서 노래방 못 가서 너무 슬프구먼 
228, 지금 서울은 일반과 같은데 수원에는 백신 패스 관 쓰여있고 서울은 없어
229,백신 패스 때문에 집계가 더 확실해진듯하죠 
230, 진짜 식당 갈 때마다 가챠에요 위드 코로나라고 가림막도 없애고 직장인들 빽빽하게 앉아서 밥 먹는데 이 ㅋ ㅋㅋ
231, 우리는 백신 패스라고 해서 다 안 맞으면 못 들어가던데ㅠ
232, 작년 그 영상들을 보면서 아 진짜 이번 멜뮤 꼭 가고 싶다고 생각했는데 갑자기 코로나가 확산되면서 온라인이 돼버려 눈물을 머금으며 봤지만 년 멜뮤 방탄은 또 레전드를 찍어 눈물이 ㅠㅠ근데 이번에 위드 코로나가 시작되며 멜뮤에 갈 수 있는 기회가 생겨 너무 기뻐요 
233,불안한 위드 코로나 속 결정으로 저기 견학시키는 게 그렇게 시급하고 중요한 일인가 대가리 속에 오직 북 북 북 속보   일 판문점 견학 재개 위드 코로나 맞춰 확대 출처  매일신문  네이버 뉴스  
234,회사에서 한국 출장 꼭 가야겠냐며 가지 말란 소리가 서서히 나오고 있다 올게 온다 오늘 명 또 신기록 문재인 정부 위드 코로나 접나 
235,짧은 그린 패스 빠른 면봉 없음 차 접종 코비스 백신 크리스마스에 대한 정부의 계획 그러나 이것은 그들이 모든 것을 존중한다는 그린 패스를 보여줍니다
236,위드 코로나는 확실히 차이가 크구나
237,  어우 안 괜찮을 것 같구먼  아니 위드 코로나는 무슨 이러다 한 몸 되건 내
238,이 조까튼 백신 패스 업무도 분만하면 끝이다 난 수영장으로 돌아간다
239,백신 패스 완화ㅋㅋㅋ 시발 완화되면 나 같은 사람은 절대 헬스장 안 갈 건데ㅗ
240,주워들은 댓글에서 비말감염 사람 간에 접촉하자마자 치사율 퍼러 사망하는 전염병이 돌면 간단한 문제지만 코로나처럼 어정쩡한 전염병이 더 국가적 골칫거리고 게다가 위드 코로나로 일상 회복을 위해 마루타 같은 실험적인 요소도 추가시키면 총체적 난국이라는데 무섭구나 생각 드네요
241,위드 코로나라고 하지 말고 그냥 우리 모두 코로나랑 같이 죽자고 해라
242,위드 코로나 표현 싫어
243, 어쩔 수 없는 맞물림의 결과인 걸요 ㅠ하필 위드 코로나 시점 이후 핼러윈 여파 수능 전면 등교 일부 대학들의 대면 강의 시행 또 종교시설도 하나 집단으로 터지고 그 사람이 몰릴 수밖에 없는 일정들이 너무 많았어요 ㅠㅠ게다가 다들 지쳐서 느슨해진 것도 한몫했고요ᅲᅲ
244,토마토와 함께하는 주식투자 하이트진로 위드 코로나 시대에 가져갈 식음료 해주
245,경인일보 인터뷰 첫발 뗀 위드 코로나 동분서주하는 전해철 행정안전부 장관 첫발을 내디딘 단계적 일상 회복의 안정적 연착륙을 위해 중앙과 지방 간 협력과 소통이 매우 중요 자치단체 중심 지방자치 패러다임을 주민 중심으로 전환하는 자치분권  적극 추진 중
246,위드 코로나의 중단 여부는 중증 환자 증가율로 결정되어야 한다 확진자 수 말고
247,위드 코로나 하는 게 맞는 거냐고 백신 맞으면 감기처럼 지나가고 이제 함께해야 하는 거야 라지만 아직 너무 시기상조 아닌가
248,실시간 국민 이간질 백신 패스 철회하라 저녁 광화문 누각 안국동 사거리 자유 대한 호국단   
249,위드 코로나 시대를 위한 소독방역용품 출처  나의 삶을    블로그 
250,모부님 다니시는 종교단체에 청년 한 명이 확진되어서 오늘 일정 전부 취소되었다고 한다 연락은 어제 어머니한테서 왔는데 다행히 어머니는 키트 검사 결과 음성 나왔고 아버지는 아직 모름 여러모로 착잡하다 위드 코로 나란 무엇일까
251,그래서 백신 패스 관 그런데 안감
252,위드 코로나보다 위드 미세먼지네 미세먼지
253,월 일 코로나 신규 확진자 명이 위중 증명 누적 명 사망자 명 누적 명 마스크 안 쓴 사람은 못 봤는데 손 세정 좀 잘 해요 난 지금도 로션처럼 세정제 바르는데 위드 코로나 하다가 지금 유럽은 개망했음 긴장감 너무 확 풀지 마요
254,한편 단계적 일상 회복 이후 위중증 환자가 예상보다 더 빠른 속도로 증가하고 있는 것으로 나타났다 세상 사는 게 쉽지 않지
255,위드 코로나 취소해야 하지 않을까요 
256,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
257, ㄷㄷ어이없음저갓고딩이라백신패스관에서혼영즐기고옴ㅋㅋ
258,오늘 명 이제 위드 코로나 없어지면 내 휴가는 이게 마지막
259, 위드 코로나 점검 위해 매주 개 핵심지표 등 위험도 평가  현재 전국 낮음이지만 수도권 병상 가동률 올라가 위험도 증가 중   의학신문  일간보사
260,백신 패스 만 세 미만 가능이면 차 접종 후에도 들어갈 수 있는 건가
261, 위드 코로나 취소되기를 빌어
262,내가 왜 위드 코로나에 화나는지 앎 위드 코로나 이 지랄 해놓고 시발 의료진들은 그대로다 하루에 입원 오는 환자들만 존나게 늘었다 이 말 ㅋㅋ 중수본에서는 환자 더 받으라고 압박하고 있고 ㅋㅋ ㄲㅈ세요 씨발련들아 좀 
263,단계적 일상 회복 주체에 접어들면서 다음 단계로 나아갈지 말지를 고려해야 하는 시점이지만 방역상황이 예상보다 심각하다 특히 수도권만 놓고 보면 언제든 비상 계획 발동을 검토해야 하는 급박한 상황
264,위드 코로나 시대 비대면 진료도 계속 함께 갈 수 있을까 비대면 진료가 의료의 질과 국민 건강 향상에 실질적인 도움이 될지에 대한 접근 방식과 정책적 판단이 필요하다  
265,어제 친구랑 갑자기 대형 쇼핑몰 갔는데 ㅋㅋ 지나가는 사람이 와 사람 진짜 만타 위드 코로나라서 그런가 봐 이러면서 지나가는데 ㅋㅋㅋ 여기 온 나도 어이가 없었지만 그냥 님도 왔잖아요
